Date,Adj Close,Volume
11/2/2009,10023.41992,10901600
11/9/2009,10270.46973,9394300
11/16/2009,10318.16016,9539100
11/23/2009,10309.91992,6064700
11/30/2009,10388.90039,12779300
12/7/2009,10471.5,9828400
12/14/2009,10328.88965,12291700
12/21/2009,10520.08984,4646800
12/28/2009,10428.04981,4430000
1/4/2010,10618.19043,9444600
1/11/2010,10609.65039,12051600
1/18/2010,10172.98047,10233300
1/25/2010,10067.33008,12517500
2/1/2010,10012.23047,12470700
2/8/2010,10099.13965,11220600
2/15/2010,10402.34961,8552300
2/22/2010,10325.25977,10553000
3/1/2010,10566.2002,9242300
3/8/2010,10624.69043,8943500
3/15/2010,10741.98047,11696400
3/22/2010,10850.36035,9177300
3/29/2010,10927.07031,6421000
4/5/2010,10997.34961,7960300
4/12/2010,11018.66016,11395000
4/19/2010,11204.28027,10009800
4/26/2010,11008.61035,11415200
5/3/2010,10380.42969,15276300
5/10/2010,10620.16016,11919100
5/17/2010,10193.38965,15331900
5/24/2010,10136.62988,13529600
5/31/2010,9931.969727,8562200
6/7/2010,10211.07031,11149200
6/14/2010,10450.63965,10658700
6/21/2010,10143.80957,12149800
6/28/2010,9686.480469,11520800
7/5/2010,10198.03027,8076000
7/12/2010,10097.90039,10641200
7/19/2010,10424.62012,9775000
7/26/2010,10465.94043,9317100
8/2/2010,10653.55957,8003600
8/9/2010,10303.15039,9618000
8/16/2010,10213.62012,9848300
8/23/2010,10150.65039,9646600
8/30/2010,10447.92969,9301400
9/6/2010,10462.76953,6197100
9/13/2010,10607.84961,10880800
9/20/2010,10860.25977,8485500
9/27/2010,10829.67969,8462800
10/4/2010,11006.48047,8342500
10/11/2010,11062.78027,10102800
10/18/2010,11132.55957,9407000
10/25/2010,11118.49023,8401300
11/1/2010,11444.08008,9244500
11/8/2010,11192.58008,9843800
11/15/2010,11203.54981,9616500
11/22/2010,11091.87012,5523500
11/29/2010,11382.08984,9493500
12/6/2010,11410.32031,7702600
12/13/2010,11491.91016,10120600
12/20/2010,11573.49023,4676600
12/27/2010,11577.50977,4388700
1/3/2011,11674.75977,9338400
1/10/2011,11787.37988,8151700
1/17/2011,11871.83984,7999200
1/24/2011,11823.7002,9262100
1/31/2011,12092.15039,7964000
2/7/2011,12273.25977,8812500
2/14/2011,12391.25,7961000
2/21/2011,12130.4502,7537500
2/28/2011,12169.87988,8546100
3/7/2011,12044.40039,7875000
3/14/2011,11858.51953,11763100
3/21/2011,12220.58984,6543900
3/28/2011,12376.71973,7261800
4/4/2011,12380.04981,7207600
4/11/2011,12341.83008,7415400
4/18/2011,12505.99023,7106200
4/25/2011,12810.54004,10005700
5/2/2011,12638.74023,8814600
5/9/2011,12595.75,8770700
5/16/2011,12512.04004,8937100
5/23/2011,12441.58008,7174900
5/30/2011,12151.25977,7054200
6/6/2011,11951.91016,8140900
6/13/2011,12004.36035,10270000
6/20/2011,11934.58008,8865700
6/27/2011,12582.76953,7935400
7/4/2011,12657.2002,5402200
7/11/2011,12479.73047,7920900
7/18/2011,12681.16016,7820100
7/25/2011,12143.24023,8362900
8/1/2011,11444.61035,12951700
8/8/2011,11269.01953,19289100
8/15/2011,10817.65039,11920900
8/22/2011,11284.54004,11976900
